ID,year,site_nr,buffer_distance,proportion_arable,proportion_pasture,proportion_forest,proportion_urban,proportion_water,proportion_wetland,proportion_SOSR,proportion_WOSR,distance_to_SOSR_previous_year_m,distance_to_WOSR_study_year,edge_density,crop_shannon_previous_year,field_size_ha,sowing_date,distance_center_to_closest_field_edge,plot_length,plot_width,plot_area,mean_dmg_proportion,dmg_day,pitfall_trap_days,fleabeetles_total,Phyllotreta_sp,Phyllotreta_atra,Phyllotreta_nigripes,Phyllotreta_striolata,Phyllotreta_undulata,Phyllotreta_vittula,Phyllotreta_armoricae,Phyllotreta_nemorum,Phyllotreta_ochripes,Chaetocnema_sp,Aphthona_coerulea.cyanella,Aphthona_euphorbiae,Aphthona_lutescens,Longitarsus_sp.,Mantura_rustica,Lythraria_salicariae,Sphaeroderma_testaceum,Bathophila_sp.,Haltica_sp.,Hippuriphila_sp.,Psylliodes_chrysocephala,Psylliodes_sp.
2014_0,2014,0,500,55.31010071,9.931371675,28.75004775,5.997020588,0,0,0,0,986,1179.313248,4510.03,0.356622907,13.36,116,32,56,24,1344,0.4844,152,152,5305,5053,1661,195,1351,733,1113,0,0,0,85,0,167,0,0,0,0,0,0,0,0,0,0
2014_1,2014,1,500,67.59699003,21.84901769,10.51706795,0,0,0,13.36537519,0,517,1695.852515,15363.13,1.47326335,2.34,119,58,56,24,1344,0.7519,155,150,5462,5236,2269,482,1343,552,581,0,9,0,204,0,14,0,8,0,0,0,0,0,0,0,0
2014_2,2014,2,500,67.38053706,0.101860222,32.50614344,0,0,0,2.098869101,0,612,2647.355657,15003.16,1.393288675,2.1,126,33,56,24,1344,0.6658,157,136,4898,4721,1760,73,1303,812,773,0,0,0,154,0,23,0,0,0,0,0,0,0,0,0,0
2014_4,2014,4,500,55.08091521,0,44.90762551,0,0,0,0,0,1379,1566.32949,5841.2,0.471194847,30.94,114,54,56,24,1344,0.2606,145,128,1784,1402,441,4,459,79,419,0,0,0,292,0,89,0,1,0,0,0,0,0,0,0,0
2014_5,2014,5,500,88.12182483,0,0,11.84125084,0,0,0,0,1146,1578.449526,4167.93,1.047272166,50.49,126,40,28,24,672,0.8,160,132,5440,4884,1339,55,1855,623,993,13,0,6,322,0,232,0,1,1,0,0,0,0,0,0,0
2015_0,2015,0,500,82.21393193,8.849106813,8.390735813,0.522033639,0,0,0,0,1150,2085.485593,13577.54,0.994528057,7.83,105,24,112,12,1344,0.4638,144,140,1079,775,144,9,40,22,560,0,0,0,269,0,9,0,26,0,0,0,0,0,0,0,0
2015_1,2015,1,500,55.04271763,14.80792982,10.7207884,19.41710488,0,0,8.262834309,0,129,7176.78248,8435.16,1.444689876,4.32,115,40,56,24,1344,0.6736,149,121,2477,2326,1431,122,227,30,500,0,16,0,113,0,21,0,17,0,0,0,0,0,0,0,0
2015_2,2015,2,500,49.37674276,3.10673678,43.09960656,0,1.222322668,2.49,0,0,4541,4583.617807,11318.83,1.308504678,8.08,113,44,56,24,1344,0.1169,148,124,637,370,183,1,29,12,145,0,0,0,77,0,179,0,11,0,0,0,0,0,0,0,0
2015_3,2015,3,500,32.50614344,0,67.20228167,0.267383084,0,0,0,0,4490,8219.078377,4578.91,0.088882008,24.76,113,54,48,30,1440,0.1169,149,134,425,280,13,0,68,11,188,0,0,0,56,0,24,0,44,0,0,10,5,0,6,0,0
2015_4,2015,4,500,95.73587644,0.57296375,3.666968003,0,0,0,1.017190073,0,1034,1866.205168,14402.34,0.940309485,13.95,113,36,56,24,1344,0.0938,151,136,449,338,103,5,27,72,131,0,0,0,42,0,17,0,51,0,1,0,0,0,0,0,0
