Density,NE,Crop,Type,Means,SD,Ymin,Ymax,Threshold,Insecticide
5,0.01,Barley,NS,-196.448706644687,89.1895691152735,-285.638275759961,-107.259137529414,5,0.25
5,0.01,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.01,Barley,AS,0,0,0,0,5,0.25
5,0.1,Barley,NS,-183.731976895395,84.4123547585686,-268.144331653963,-99.3196221368264,5,0.25
5,0.1,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.1,Barley,AS,0,0,0,0,5,0.25
5,0.2,Barley,NS,-169.129850895325,78.8599994999356,-247.989850395261,-90.2698513953896,5,0.25
5,0.2,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.2,Barley,AS,0,0,0,0,5,0.25
5,0.3,Barley,NS,-153.952520417909,73.0035435337111,-226.95606395162,-80.9489768841977,5,0.25
5,0.3,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.3,Barley,AS,0,0,0,0,5,0.25
5,0.4,Barley,NS,-138.093354072717,66.7772122372714,-204.870566309988,-71.3161418354453,5,0.25
5,0.4,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.4,Barley,AS,0,0,0,0,5,0.25
5,0.5,Barley,NS,-121.404286222694,60.0870605487232,-181.491346771418,-61.3172256739711,5,0.25
5,0.5,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.5,Barley,AS,0,0,0,0,5,0.25
5,0.6,Barley,NS,-103.66750531823,52.7903283603471,-156.457833678577,-50.8771769578827,5,0.25
5,0.6,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.6,Barley,AS,0,0,0,0,5,0.25
5,0.7,Barley,NS,-84.5347128262571,44.6498193014033,-129.18453212766,-39.8848935248538,5,0.25
5,0.7,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.7,Barley,AS,0,0,0,0,5,0.25
5,0.8,Barley,NS,-63.3698237020049,35.211583384817,-98.5814070868219,-28.1582403171879,5,0.25
5,0.8,Barley,ET,-25.7151657162427,23.5054819358779,-49.2206476521206,-2.20968378036486,5,0.25
5,0.8,Barley,AS,0,0,0,0,5,0.25
5,0.9,Barley,NS,-38.6764301664196,23.3397975430843,-62.0162277095039,-15.3366326233353,5,0.25
5,0.9,Barley,ET,-25.1204019125705,22.9520550905311,-48.0724570031016,-2.16834682203935,5,0.25
5,0.9,Barley,AS,0,0,0,0,5,0.25
5,1,Barley,NS,0,0,0,0,5,0.25
5,1,Barley,ET,0,0,0,0,5,0.25
5,1,Barley,AS,0,0,0,0,5,0.25
7.5,0.01,Barley,NS,-256.069429312211,116.289988816197,-372.359418128408,-139.779440496014,5,0.25
7.5,0.01,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.01,Barley,AS,0,0,0,0,5,0.25
7.5,0.1,Barley,NS,-239.494005685819,110.063834548983,-349.557840234803,-129.430171136836,5,0.25
7.5,0.1,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.1,Barley,AS,0,0,0,0,5,0.25
7.5,0.2,Barley,NS,-220.462741998697,102.828364461893,-323.29110646059,-117.634377536804,5,0.25
7.5,0.2,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.2,Barley,AS,0,0,0,0,5,0.25
7.5,0.3,Barley,NS,-200.68368206109,95.1976798880068,-295.881361949097,-105.486002173083,5,0.25
7.5,0.3,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.3,Barley,AS,0,0,0,0,5,0.25
7.5,0.4,Barley,NS,-180.018117037852,87.0862562814553,-267.104373319308,-92.9318607563971,5,0.25
7.5,0.4,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.4,Barley,AS,0,0,0,0,5,0.25
7.5,0.5,Barley,NS,-158.273429947022,78.3719347384427,-236.645364685464,-79.901495208579,5,0.25
7.5,0.5,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.5,Barley,AS,0,0,0,0,5,0.25
7.5,0.6,Barley,NS,-135.166257277941,68.8690722839065,-204.035329561848,-66.297184994035,5,0.25
7.5,0.6,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.6,Barley,AS,0,0,0,0,5,0.25
7.5,0.7,Barley,NS,-110.243451760101,58.2692061227109,-168.512657882812,-51.9742456373905,5,0.25
7.5,0.7,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.7,Barley,AS,0,0,0,0,5,0.25
7.5,0.8,Barley,NS,-82.6773943022693,45.9819581302967,-128.659352432566,-36.6954361719726,5,0.25
7.5,0.8,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.8,Barley,AS,0,0,0,0,5,0.25
7.5,0.9,Barley,NS,-50.5209412575223,30.5300253339411,-81.0509665914634,-19.9909159235813,5,0.25
7.5,0.9,Barley,ET,-25.4410809918296,23.6647075185894,-49.105788510419,-1.77637347324025,5,0.25
7.5,0.9,Barley,AS,0,0,0,0,5,0.25
7.5,1,Barley,NS,0,0,0,0,5,0.25
7.5,1,Barley,ET,0,0,0,0,5,0.25
7.5,1,Barley,AS,0,0,0,0,5,0.25
10,0.01,Barley,NS,-309.066420444051,140.368647627923,-449.435068071974,-168.697772816128,5,0.25
