Density,NE,Crop,Type,Means,SD,Ymin,Ymax,Threshold,Insecticide
5,0.01,Barley,NS,270.063282155452,0.526687823437232,269.536594332015,270.589969978889,5,0.25
5,0.01,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.01,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.1,Barley,NS,257.34655240616,5.37325099030316,251.973301415857,262.719803396463,5,0.25
5,0.1,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.1,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.2,Barley,NS,242.74442640609,11.0080322408506,231.73639416524,253.752458646941,5,0.25
5,0.2,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.2,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.3,Barley,NS,227.567095928674,16.953150748464,210.61394518021,244.520246677138,5,0.25
5,0.3,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.3,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.4,Barley,NS,211.707929583482,23.2749562179424,188.43297336554,234.982885801425,5,0.25
5,0.4,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.4,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.5,Barley,NS,195.01886173346,30.067768793099,164.951092940361,225.086630526559,5,0.25
5,0.5,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.5,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.6,Barley,NS,177.282080828995,37.4740371167684,139.808043712226,214.756117945763,5,0.25
5,0.6,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.6,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.7,Barley,NS,158.149288337022,45.7284774889885,112.420810848034,203.877765826011,5,0.25
5,0.7,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.7,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.8,Barley,NS,136.98439921277,55.2750033620749,81.7093958506951,192.259402574845,5,0.25
5,0.8,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
5,0.8,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,0.9,Barley,NS,112.291005677185,67.2036978094404,45.0873078677444,179.494703486625,5,0.25
5,0.9,Barley,ET,48.2597816508732,0.563172434813317,47.6966092160599,48.8229540856866,5,0.25
5,0.9,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
5,1,Barley,NS,73.6145755107651,89.7088149135651,0,163.32339042433,5,0.25
5,1,Barley,ET,23.1393797383027,23.5054819358779,0,46.6448616741805,5,0.25
5,1,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.01,Barley,NS,351.761878757771,0.686532582239362,351.075346175532,352.448411340011,5,0.25
7.5,0.01,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.01,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.1,Barley,NS,335.186455131381,7.00359644357133,328.182858687809,342.190051574952,5,0.25
7.5,0.1,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.1,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.2,Barley,NS,316.155191444258,14.3471683928597,301.808023051398,330.502359837118,5,0.25
7.5,0.2,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.2,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.3,Barley,NS,296.376131506652,22.0942003814375,274.281931125214,318.470331888089,5,0.25
7.5,0.3,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.3,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.4,Barley,NS,275.710566483413,30.3309990221934,245.37956746122,306.041565505607,5,0.25
7.5,0.4,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.4,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.5,Barley,NS,253.965879392582,39.1802600688525,214.78561932373,293.146139461435,5,0.25
7.5,0.5,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.5,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.6,Barley,NS,230.858706723503,48.8272958839576,182.031410839545,279.68600260746,5,0.25
7.5,0.6,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.6,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.7,Barley,NS,205.935901205662,59.5774661560918,146.358435049571,265.513367361754,5,0.25
7.5,0.7,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.7,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.8,Barley,NS,178.36984374783,72.0083230963867,106.361520651443,250.378166844217,5,0.25
7.5,0.8,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.8,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,0.9,Barley,NS,146.213390703083,87.538209013714,58.6751816893694,233.751599716797,5,0.25
7.5,0.9,Barley,ET,48.8545454545455,0,48.8545454545455,48.8545454545455,5,0.25
7.5,0.9,Barley,AS,195.411142351623,195.411142351623,195.411142351623,195.411142351623,5,0.25
7.5,1,Barley,NS,95.6924494455609,116.966767754626,0,212.659217200187,5,0.25
