Density,NE,Crop,Type,Means,SD,Ymin,Ymax,Threshold,Insecticide
5,0.01,Barley,NS,24.5486605899185,0.0478754193720746,24.5007851705464,24.5965360092906,5,0.25
5,0.01,Barley,ET,24.5486605899185,0.0478754193720746,24.5007851705464,24.5965360092906,5,0.25
5,0.01,Barley,AS,0,,0,0,5,0.25
5,0.1,Barley,NS,23.3927215681331,0.488423619273501,22.9042979488596,23.8811451874066,5,0.25
5,0.1,Barley,ET,23.3927215681331,0.488423619273501,22.9042979488596,23.8811451874066,5,0.25
5,0.1,Barley,AS,0,,0,0,5,0.25
5,0.2,Barley,NS,22.0654007192442,1.00062067550932,21.0647800437349,23.0660213947535,5,0.25
5,0.2,Barley,ET,22.0654007192442,1.00062067550932,21.0647800437349,23.0660213947535,5,0.25
5,0.2,Barley,AS,0,,0,0,5,0.25
5,0.3,Barley,NS,20.6857930820757,1.54102776351658,19.1447653185591,22.2268208455923,5,0.25
5,0.3,Barley,ET,20.6857930820757,1.54102776351658,19.1447653185591,22.2268208455923,5,0.25
5,0.3,Barley,AS,0,,0,0,5,0.25
5,0.4,Barley,NS,19.2442057851942,2.11567612178235,17.1285296634119,21.3598819069765,5,0.25
5,0.4,Barley,ET,19.2442057851942,2.11567612178235,17.1285296634119,21.3598819069765,5,0.25
5,0.4,Barley,AS,0,,0,0,5,0.25
5,0.5,Barley,NS,17.7271795597945,2.7331395193318,14.9940400404627,20.4603190791263,5,0.25
5,0.5,Barley,ET,17.7271795597945,2.7331395193318,14.9940400404627,20.4603190791263,5,0.25
5,0.5,Barley,AS,0,,0,0,5,0.25
5,0.6,Barley,NS,16.1149151947848,3.40636663474566,12.7085485600392,19.5212818295305,5,0.25
5,0.6,Barley,ET,16.1149151947848,3.40636663474566,12.7085485600392,19.5212818295305,5,0.25
5,0.6,Barley,AS,0,,0,0,5,0.25
5,0.7,Barley,NS,14.3757521440067,4.15669332946648,10.2190588145402,18.5324454734732,5,0.25
5,0.7,Barley,ET,14.3757521440067,4.15669332946648,10.2190588145402,18.5324454734732,5,0.25
5,0.7,Barley,AS,0,,0,0,5,0.25
5,0.8,Barley,NS,12.4518699276148,5.0244715989182,7.42739832869657,17.476341526533,5,0.25
5,0.8,Barley,ET,12.4518699276148,5.0244715989182,7.42739832869657,17.476341526533,5,0.25
5,0.8,Barley,AS,0,,0,0,5,0.25
5,0.9,Barley,NS,10.2072443498053,6.10879058030134,4.09845376950392,16.3160349301066,5,0.25
5,0.9,Barley,ET,10.2072443498053,6.10879058030134,4.09845376950392,16.3160349301066,5,0.25
5,0.9,Barley,AS,0,,0,0,5,0.25
5,1,Barley,NS,6.6915545345291,8.15451155261403,0,14.8460660871431,5,0.25
5,1,Barley,ET,6.6915545345291,8.15451155261403,0,14.8460660871431,5,0.25
5,1,Barley,AS,0,,0,0,5,0.25
7.5,0.01,Barley,NS,31.9749697779855,0.062404899129294,31.9125648788563,32.0373746771148,5,0.25
7.5,0.01,Barley,ET,31.9749697779855,0.062404899129294,31.9125648788563,32.0373746771148,5,0.25
7.5,0.01,Barley,AS,0,,0,0,5,0.25
7.5,0.1,Barley,NS,30.4682850372221,0.636618021159548,29.8316670160625,31.1049030583816,5,0.25
7.5,0.1,Barley,ET,30.4682850372221,0.636618021159548,29.8316670160625,31.1049030583816,5,0.25
7.5,0.1,Barley,AS,0,,0,0,5,0.25
7.5,0.2,Barley,NS,28.7383658116121,1.30414036008336,27.4342254515288,30.0425061716955,5,0.25
7.5,0.2,Barley,ET,28.7383658116121,1.30414036008336,27.4342254515288,30.0425061716955,5,0.25
7.5,0.2,Barley,AS,0,,0,0,5,0.25
7.5,0.3,Barley,NS,26.9404707755018,2.00833782132671,24.9321329541751,28.9488085968285,5,0.25
7.5,0.3,Barley,ET,26.9404707755018,2.00833782132671,24.9321329541751,28.9488085968285,5,0.25
7.5,0.3,Barley,AS,0,,0,0,5,0.25
7.5,0.4,Barley,NS,25.0619911750936,2.75705575407848,22.3049354210152,27.8190469291721,5,0.25
7.5,0.4,Barley,ET,25.0619911750936,2.75705575407848,22.3049354210152,27.8190469291721,5,0.25
7.5,0.4,Barley,AS,0,,0,0,5,0.25
7.5,0.5,Barley,NS,23.0854179692705,3.56144730727438,19.5239706619961,26.6468652765448,5,0.25
7.5,0.5,Barley,ET,23.0854179692705,3.56144730727438,19.5239706619961,26.6468652765448,5,0.25
7.5,0.5,Barley,AS,0,,0,0,5,0.25
7.5,0.6,Barley,NS,20.9849931992133,4.43835752350589,16.5466356757074,25.4233507227191,5,0.25
7.5,0.6,Barley,ET,20.9849931992133,4.43835752350589,16.5466356757074,25.4233507227191,5,0.25
7.5,0.6,Barley,AS,0,,0,0,5,0.25
7.5,0.7,Barley,NS,18.7195254607953,5.41554382680769,13.3039816339876,24.135069287603,5,0.25
7.5,0.7,Barley,ET,18.7195254607953,5.41554382680769,13.3039816339876,24.135069287603,5,0.25
7.5,0.7,Barley,AS,0,,0,0,5,0.25
7.5,0.8,Barley,NS,16.2137836557402,6.54550611004857,9.66827754569164,22.7592897657888,5,0.25
