PlotData_CLPH_Threshold5_Insecticide246.Density,PlotData_CLPH_Threshold5_Insecticide246.NE,PlotData_CLPH_Threshold5_Insecticide246.Type,PlotData_CLPH_Threshold5_Insecticide246.Means,PlotData_CLPH_Threshold5_Insecticide246.SD,PlotData_CLPH_Threshold5_Insecticide246.Ymin,PlotData_CLPH_Threshold5_Insecticide246.Ymax,PlotData_CLPH_Threshold5_Insecticide246.Threshold,PlotData_CLPH_Threshold5_Insecticide246.Insecticide,PlotData_CLPH_Percent_Threshold5_Insecticide246.Density,PlotData_CLPH_Percent_Threshold5_Insecticide246.NE,PlotData_CLPH_Percent_Threshold5_Insecticide246.Type,PlotData_CLPH_Percent_Threshold5_Insecticide246.Means,PlotData_CLPH_Percent_Threshold5_Insecticide246.SD,PlotData_CLPH_Percent_Threshold5_Insecticide246.Ymin,PlotData_CLPH_Percent_Threshold5_Insecticide246.Ymax,PlotData_CLPH_Percent_Threshold5_Insecticide246.Threshold,PlotData_CLPH_Percent_Threshold5_Insecticide246.Insecticide,PlotData_LPH_Threshold5_Insecticide246.Density,PlotData_LPH_Threshold5_Insecticide246.NE,PlotData_LPH_Threshold5_Insecticide246.Type,PlotData_LPH_Threshold5_Insecticide246.Means,PlotData_LPH_Threshold5_Insecticide246.SD,PlotData_LPH_Threshold5_Insecticide246.Ymin,PlotData_LPH_Threshold5_Insecticide246.Ymax,PlotData_LPH_Threshold5_Insecticide246.Threshold,PlotData_LPH_Threshold5_Insecticide246.Insecticide,PlotData_YL_Threshold5_Insecticide246.Density,PlotData_YL_Threshold5_Insecticide246.NE,PlotData_YL_Threshold5_Insecticide246.Type,PlotData_YL_Threshold5_Insecticide246.Means,PlotData_YL_Threshold5_Insecticide246.SD,PlotData_YL_Threshold5_Insecticide246.Ymin,PlotData_YL_Threshold5_Insecticide246.Ymax,PlotData_YL_Threshold5_Insecticide246.Threshold,PlotData_YL_Threshold5_Insecticide246.Insecticide,Crop
5,0.01,NS,-26.782587396168,7.33454974244511,-34.1171371386131,-19.4480376537229,5,246.453405354839,5,0.01,NS,-43.1540132133843,8.66417054674777,-51.8181837601321,-34.4898426666366,5,246.453405354839,5,0.01,NS,61.1264770731775,6.47072365948043,54.655753413697,67.5972007326579,5,246.453405354839,5,0.01,NS,4.31088291498022,0.455267525723963,3.85561538925626,4.76615044070418,5,246.453405354839,OSR
5,0.01,ET,-26.782587396168,7.33454974244511,-34.1171371386131,-19.4480376537229,5,246.453405354839,5,0.01,ET,-43.1540132133843,8.66417054674777,-51.8181837601321,-34.4898426666366,5,246.453405354839,5,0.01,ET,61.1264770731775,6.47072365948043,54.655753413697,67.5972007326579,5,246.453405354839,5,0.01,ET,4.31088291498022,0.455267525723963,3.85561538925626,4.76615044070418,5,246.453405354839,OSR
5,0.01,AS,0,0,0,0,5,246.453405354839,5,0.01,AS,0,0,0,0,5,246.453405354839,5,0.01,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.01,AS,0,,0,0,5,246.453405354839,OSR
5,0.1,NS,-24.2897114549559,7.32649213224239,-31.6162035871983,-16.9632193227135,5,246.453405354839,5,0.1,NS,-40.6606082748431,9.40745929286993,-50.0680675677131,-31.2531489819732,5,246.453405354839,5,0.1,NS,58.6336011319654,6.22366765562117,52.4099334763442,64.8572687875865,5,246.453405354839,5,0.1,NS,4.13408455940926,0.436902146798841,3.69718241261042,4.5709867062081,5,246.453405354839,OSR
5,0.1,ET,-24.2897114549559,7.32649213224239,-31.6162035871983,-16.9632193227135,5,246.453405354839,5,0.1,ET,-40.6606082748431,9.40745929286993,-50.0680675677131,-31.2531489819732,5,246.453405354839,5,0.1,ET,58.6336011319654,6.22366765562117,52.4099334763442,64.8572687875865,5,246.453405354839,5,0.1,ET,4.13408455940926,0.436902146798841,3.69718241261042,4.5709867062081,5,246.453405354839,OSR
5,0.1,AS,0,0,0,0,5,246.453405354839,5,0.1,AS,0,0,0,0,5,246.453405354839,5,0.1,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.1,AS,0,,0,0,5,246.453405354839,OSR
5,0.2,NS,-21.7181998136982,6.82624295060587,-28.5444427643041,-14.8919568630923,5,246.453405354839,5,0.2,NS,-38.0404207198897,9.50474406422943,-47.5451647841191,-28.5356766556602,5,246.453405354839,5,0.2,NS,56.0620894907077,5.72733606501453,50.3347534256931,61.7894255557222,5,246.453405354839,5,0.2,NS,3.95392436521157,0.404111236254979,3.54981312895659,4.35803560146654,5,246.453405354839,OSR
5,0.2,ET,-21.7181998136982,6.82624295060587,-28.5444427643041,-14.8919568630923,5,246.453405354839,5,0.2,ET,-38.0404207198897,9.50474406422943,-47.5451647841191,-28.5356766556602,5,246.453405354839,5,0.2,ET,56.0620894907077,5.72733606501453,50.3347534256931,61.7894255557222,5,246.453405354839,5,0.2,ET,3.95392436521157,0.404111236254979,3.54981312895659,4.35803560146654,5,246.453405354839,OSR
5,0.2,AS,0,0,0,0,5,246.453405354839,5,0.2,AS,0,0,0,0,5,246.453405354839,5,0.2,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.2,AS,0,,0,0,5,246.453405354839,OSR
5,0.3,NS,-18.71681987679,6.48453363320149,-25.2013535099915,-12.2322862435885,5,246.453405354839,5,0.3,NS,-34.51632072343,9.84091635335634,-44.3572370767863,-24.6754043700737,5,246.453405354839,5,0.3,NS,53.0607095537994,5.44338192068484,47.6173276331146,58.5040914744843,5,246.453405354839,5,0.3,NS,3.7400281729582,0.384187742329268,3.35584043062893,4.12421591528747,5,246.453405354839,OSR
5,0.3,ET,-18.71681987679,6.48453363320149,-25.2013535099915,-12.2322862435885,5,246.453405354839,5,0.3,ET,-34.51632072343,9.84091635335634,-44.3572370767863,-24.6754043700737,5,246.453405354839,5,0.3,ET,53.0607095537994,5.44338192068484,47.6173276331146,58.5040914744843,5,246.453405354839,5,0.3,ET,3.7400281729582,0.384187742329268,3.35584043062893,4.12421591528747,5,246.453405354839,OSR
5,0.3,AS,0,0,0,0,5,246.453405354839,5,0.3,AS,0,0,0,0,5,246.453405354839,5,0.3,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.3,AS,0,,0,0,5,246.453405354839,OSR
5,0.4,NS,-16.1586095834741,6.30981558789423,-22.4684251713683,-9.84879399557984,5,246.453405354839,5,0.4,NS,-31.1934690593492,10.4145377541664,-41.6080068135157,-20.7789313051828,5,246.453405354839,5,0.4,NS,50.5024992604835,5.28965802221279,45.2128412382707,55.7921572826963,5,246.453405354839,5,0.4,NS,3.56053420618906,0.372020683733524,3.18851352245554,3.93255488992259,5,246.453405354839,OSR
5,0.4,ET,-16.1586095834741,6.30981558789423,-22.4684251713683,-9.84879399557984,5,246.453405354839,5,0.4,ET,-31.1934690593492,10.4145377541664,-41.6080068135157,-20.7789313051828,5,246.453405354839,5,0.4,ET,50.5024992604835,5.28965802221279,45.2128412382707,55.7921572826963,5,246.453405354839,5,0.4,ET,3.56053420618906,0.372020683733524,3.18851352245554,3.93255488992259,5,246.453405354839,OSR
5,0.4,AS,0,0,0,0,5,246.453405354839,5,0.4,AS,0,0,0,0,5,246.453405354839,5,0.4,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.4,AS,0,,0,0,5,246.453405354839,OSR
5,0.5,NS,-13.3725060755065,6.21657729132303,-19.5890833668295,-7.15592878418345,5,246.453405354839,5,0.5,NS,-27.1392578632241,11.4122881389546,-38.5515460021786,-15.7269697242695,5,246.453405354839,5,0.5,NS,47.7163957525159,5.06180208490943,42.6545936676065,52.7781978374254,5,246.453405354839,5,0.5,NS,3.36472236580893,0.357030751496452,3.00769161431248,3.72175311730538,5,246.453405354839,OSR
5,0.5,ET,-13.3725060755065,6.21657729132303,-19.5890833668295,-7.15592878418345,5,246.453405354839,5,0.5,ET,-27.1392578632241,11.4122881389546,-38.5515460021786,-15.7269697242695,5,246.453405354839,5,0.5,ET,47.7163957525159,5.06180208490943,42.6545936676065,52.7781978374254,5,246.453405354839,5,0.5,ET,3.36472236580893,0.357030751496452,3.00769161431248,3.72175311730538,5,246.453405354839,OSR
5,0.5,AS,0,0,0,0,5,246.453405354839,5,0.5,AS,0,0,0,0,5,246.453405354839,5,0.5,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.5,AS,0,,0,0,5,246.453405354839,OSR
5,0.6,NS,-10.6938746030279,6.01434435905978,-16.7082189620877,-4.6795302439681,5,246.453405354839,5,0.6,NS,-22.7717584873798,11.9524783762452,-34.7242368636251,-10.8192801111346,5,246.453405354839,5,0.6,NS,45.0377642800373,4.76003229314403,40.2777319868933,49.7977965731814,5,246.453405354839,5,0.6,NS,3.17448525552104,0.333862940923064,2.84062231459798,3.50834819644411,5,246.453405354839,OSR
5,0.6,ET,-10.6938746030279,6.01434435905978,-16.7082189620877,-4.6795302439681,5,246.453405354839,5,0.6,ET,-22.7717584873798,11.9524783762452,-34.7242368636251,-10.8192801111346,5,246.453405354839,5,0.6,ET,45.0377642800373,4.76003229314403,40.2777319868933,49.7977965731814,5,246.453405354839,5,0.6,ET,3.17448525552104,0.333862940923064,2.84062231459798,3.50834819644411,5,246.453405354839,OSR
5,0.6,AS,0,0,0,0,5,246.453405354839,5,0.6,AS,0,0,0,0,5,246.453405354839,5,0.6,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.6,AS,0,,0,0,5,246.453405354839,OSR
5,0.7,NS,-7.94224215757724,5.76484726421313,-13.7070894217904,-2.17739489336412,5,246.453405354839,5,0.7,NS,-17.7755527170869,12.6827086357518,-30.4582613528386,-5.09284408133511,5,246.453405354839,5,0.7,NS,42.2861318345867,4.46459888053636,37.8215329540503,46.7507307151231,5,246.453405354839,5,0.7,NS,2.98090791075403,0.315126689357698,2.66578122139633,3.29603460011173,5,246.453405354839,OSR
5,0.7,ET,-7.94224215757724,5.76484726421313,-13.7070894217904,-2.17739489336412,5,246.453405354839,5,0.7,ET,-17.7755527170869,12.6827086357518,-30.4582613528386,-5.09284408133511,5,246.453405354839,5,0.7,ET,42.2861318345867,4.46459888053636,37.8215329540503,46.7507307151231,5,246.453405354839,5,0.7,ET,2.98090791075403,0.315126689357698,2.66578122139633,3.29603460011173,5,246.453405354839,OSR
5,0.7,AS,0,0,0,0,5,246.453405354839,5,0.7,AS,0,0,0,0,5,246.453405354839,5,0.7,AS,229.043741927258,229.043741927258,229.043741927258,229.043741927258,5,246.453405354839,5,0.7,AS,0,,0,0,5,246.453405354839,OSR
