Density,NE,Crop,Type,Means,SD,Ymin,Ymax,Threshold,Insecticide
5,0.01,OSR,NS,-26.5747514978711,7.30640817757623,-33.8811596754474,-19.2683433202949,5,0.25
5,0.01,OSR,ET,-17.7351679760421,4.73874137887259,-22.4739093549147,-12.9964265971695,5,0.25
5,0.01,OSR,AS,0,0,0,0,5,0.25
5,0.1,OSR,NS,-23.9743001768799,7.08669548552979,-31.0609956624097,-16.8876046913501,5,0.25
5,0.1,OSR,ET,-16.4756454938991,4.91270584954527,-21.3883513434444,-11.5629396443539,5,0.25
5,0.1,OSR,AS,0,0,0,0,5,0.25
5,0.2,OSR,NS,-21.5009849918382,7.05614899062402,-28.5571339824622,-14.4448360012142,5,0.25
5,0.2,OSR,ET,-15.4503328148809,4.87851638649401,-20.3288492013749,-10.5718164283869,5,0.25
5,0.2,OSR,AS,0,0,0,0,5,0.25
5,0.3,OSR,NS,-18.8913232994791,6.64749986266707,-25.5388231621462,-12.2438234368121,5,0.25
5,0.3,OSR,ET,-14.0238492402647,4.91021135142545,-18.9340605916901,-9.11363788883921,5,0.25
5,0.3,OSR,AS,0,0,0,0,5,0.25
5,0.4,OSR,NS,-15.7055903960672,6.57282828756933,-22.2784186836365,-9.13276210849784,5,0.25
5,0.4,OSR,ET,-12.0725454032739,5.17909282443048,-17.2516382277044,-6.89345257884345,5,0.25
5,0.4,OSR,AS,0,0,0,0,5,0.25
5,0.5,OSR,NS,-13.0874111340462,6.1544050713429,-19.2418162053891,-6.93300606270328,5,0.25
5,0.5,OSR,ET,-10.2618217331545,4.94415557067763,-15.2059773038322,-5.3176661624769,5,0.25
5,0.5,OSR,AS,0,0,0,0,5,0.25
5,0.6,OSR,NS,-10.6257629058429,5.82302252842681,-16.4487854342697,-4.80274037741605,5,0.25
5,0.6,OSR,ET,-8.39321381006147,4.88205126004441,-13.2752650701059,-3.51116255001706,5,0.25
5,0.6,OSR,AS,0,0,0,0,5,0.25
5,0.7,OSR,NS,-7.95519586986756,5.54002828871969,-13.4952241585873,-2.41516758114787,5,0.25
