Density,NE,Crop,Type,Means,SD,Ymin,Ymax,Threshold,Insecticide
5,0.01,OSR,NS,4.29878961409095,0.441199839825515,3.85758977426544,4.73998945391647,5,0.25
5,0.01,OSR,ET,4.29878961409095,0.441199839825515,3.85758977426544,4.73998945391647,5,0.25
5,0.01,OSR,AS,0,,0,0,5,0.25
5,0.1,OSR,NS,4.11175571609928,0.435883440051704,3.67587227604758,4.54763915615098,5,0.25
5,0.1,OSR,ET,4.11175571609928,0.435883440051704,3.67587227604758,4.54763915615098,5,0.25
5,0.1,OSR,AS,0,,0,0,5,0.25
5,0.2,OSR,NS,3.94271763437975,0.430372162629818,3.51234547174993,4.37308979700956,5,0.25
5,0.2,OSR,ET,3.94271763437975,0.430372162629818,3.51234547174993,4.37308979700956,5,0.25
5,0.2,OSR,AS,0,,0,0,5,0.25
5,0.3,OSR,NS,3.75916520998772,0.391767326704269,3.36739788328345,4.15093253669199,5,0.25
5,0.3,OSR,ET,3.75916520998772,0.391767326704269,3.36739788328345,4.15093253669199,5,0.25
5,0.3,OSR,AS,0,,0,0,5,0.25
5,0.4,OSR,NS,3.53447346376074,0.385350438854343,3.1491230249064,3.91982390261508,5,0.25
5,0.4,OSR,ET,3.53447346376074,0.385350438854343,3.1491230249064,3.91982390261508,5,0.25
5,0.4,OSR,AS,0,,0,0,5,0.25
5,0.5,OSR,NS,3.35021911246879,0.346197251330926,3.00402186113787,3.69641636379972,5,0.25
5,0.5,OSR,ET,3.35021911246879,0.346197251330926,3.00402186113787,3.69641636379972,5,0.25
5,0.5,OSR,AS,0,,0,0,5,0.25
5,0.6,OSR,NS,3.17273951269826,0.328721878011693,2.84401763468657,3.50146139070996,5,0.25
5,0.6,OSR,ET,3.17273951269826,0.328721878011693,2.84401763468657,3.50146139070996,5,0.25
5,0.6,OSR,AS,0,,0,0,5,0.25
5,0.7,OSR,NS,2.98625455139385,0.30829564454841,2.67795890684544,3.29455019594226,5,0.25
5,0.7,OSR,ET,2.98625455139385,0.30829564454841,2.67795890684544,3.29455019594226,5,0.25
5,0.7,OSR,AS,0,,0,0,5,0.25
5,0.8,OSR,NS,2.80454256960462,0.294726843878519,2.5098157257261,3.09926941348313,5,0.25
5,0.8,OSR,ET,2.80454256960462,0.294726843878519,2.5098157257261,3.09926941348313,5,0.25
5,0.8,OSR,AS,0,,0,0,5,0.25
5,0.9,OSR,NS,2.61068469785576,0.275654274519184,2.33503042333657,2.88633897237494,5,0.25
5,0.9,OSR,ET,2.61068469785576,0.275654274519184,2.33503042333657,2.88633897237494,5,0.25
5,0.9,OSR,AS,0,,0,0,5,0.25
5,1,OSR,NS,2.42550968565109,0.255994952023704,2.16951473362739,2.6815046376748,5,0.25
5,1,OSR,ET,2.42550968565109,0.255994952023704,2.16951473362739,2.6815046376748,5,0.25
5,1,OSR,AS,0,,0,0,5,0.25
7.5,0.01,OSR,NS,6.45668098686467,0.683236659146563,5.77344432771811,7.13991764601124,5,0.25
7.5,0.01,OSR,ET,0,0,0,0,5,0.25
7.5,0.01,OSR,AS,0,,0,0,5,0.25
7.5,0.1,OSR,NS,6.22624019786203,0.641528386238395,5.58471181162364,6.86776858410043,5,0.25
7.5,0.1,OSR,ET,0,0,0,0,5,0.25
7.5,0.1,OSR,AS,0,,0,0,5,0.25
7.5,0.2,OSR,NS,5.89994102156992,0.629911919278099,5.27002910229182,6.52985294084802,5,0.25
7.5,0.2,OSR,ET,0,0,0,0,5,0.25
7.5,0.2,OSR,AS,0,,0,0,5,0.25
7.5,0.3,OSR,NS,5.64325466697778,0.586739896631536,5.05651477034624,6.22999456360932,5,0.25
7.5,0.3,OSR,ET,0,0,0,0,5,0.25
7.5,0.3,OSR,AS,0,,0,0,5,0.25
7.5,0.4,OSR,NS,5.34705123222547,0.567954430357113,4.77909680186836,5.91500566258259,5,0.25
7.5,0.4,OSR,ET,0,0,0,0,5,0.25
7.5,0.4,OSR,AS,0,,0,0,5,0.25
7.5,0.5,OSR,NS,5.01717693820178,0.551201514644166,4.46597542355762,5.56837845284595,5,0.25
7.5,0.5,OSR,ET,0,0,0,0,5,0.25
