PlotData_CLPH_Threshold5_Insecticide279.Density,PlotData_CLPH_Threshold5_Insecticide279.NE,PlotData_CLPH_Threshold5_Insecticide279.Type,PlotData_CLPH_Threshold5_Insecticide279.Means,PlotData_CLPH_Threshold5_Insecticide279.SD,PlotData_CLPH_Threshold5_Insecticide279.Ymin,PlotData_CLPH_Threshold5_Insecticide279.Ymax,PlotData_CLPH_Threshold5_Insecticide279.Threshold,PlotData_CLPH_Threshold5_Insecticide279.Insecticide,PlotData_CLPH_Percent_Threshold5_Insecticide279.Density,PlotData_CLPH_Percent_Threshold5_Insecticide279.NE,PlotData_CLPH_Percent_Threshold5_Insecticide279.Type,PlotData_CLPH_Percent_Threshold5_Insecticide279.Means,PlotData_CLPH_Percent_Threshold5_Insecticide279.SD,PlotData_CLPH_Percent_Threshold5_Insecticide279.Ymin,PlotData_CLPH_Percent_Threshold5_Insecticide279.Ymax,PlotData_CLPH_Percent_Threshold5_Insecticide279.Threshold,PlotData_CLPH_Percent_Threshold5_Insecticide279.Insecticide,PlotData_LPH_Threshold5_Insecticide279.Density,PlotData_LPH_Threshold5_Insecticide279.NE,PlotData_LPH_Threshold5_Insecticide279.Type,PlotData_LPH_Threshold5_Insecticide279.Means,PlotData_LPH_Threshold5_Insecticide279.SD,PlotData_LPH_Threshold5_Insecticide279.Ymin,PlotData_LPH_Threshold5_Insecticide279.Ymax,PlotData_LPH_Threshold5_Insecticide279.Threshold,PlotData_LPH_Threshold5_Insecticide279.Insecticide,PlotData_YL_Threshold5_Insecticide279.Density,PlotData_YL_Threshold5_Insecticide279.NE,PlotData_YL_Threshold5_Insecticide279.Type,PlotData_YL_Threshold5_Insecticide279.Means,PlotData_YL_Threshold5_Insecticide279.SD,PlotData_YL_Threshold5_Insecticide279.Ymin,PlotData_YL_Threshold5_Insecticide279.Ymax,PlotData_YL_Threshold5_Insecticide279.Threshold,PlotData_YL_Threshold5_Insecticide279.Insecticide,Crop
5,0.01,NS,-25.6082437499979,2.62253350769483,-28.2307772576927,-22.985710242303,5,279.168458781362,5,0.01,NS,-98.3920390141783,10.1524696410437,-108.544508655222,-88.2395693731346,5,279.168458781362,5,0.01,NS,26.0338103588081,0.124037020186016,25.9097733386221,26.1578473789941,5,279.168458781362,5,0.01,NS,1.70862117114278,0.00814065539290477,1.70048051574988,1.71676182653569,5,279.168458781362,Wheat
5,0.01,ET,-25.6082422811765,2.62253327720798,-28.2307755583844,-22.9857090039685,5,279.168458781362,5,0.01,ET,-9.3151580118205,0.954620618259586,-10.2697786300801,-8.36053739356092,5,279.168458781362,5,0.01,ET,281.842615186111,0.124037020186016,281.718578165925,281.966652206297,5,279.168458781362,5,0.01,ET,1.70862117114278,0.00814065539290477,1.70048051574988,1.71676182653569,5,279.168458781362,Wheat
5,0.01,AS,0,0,0,0,5,279.168458781362,5,0.01,AS,0,0,0,0,5,279.168458781362,5,0.01,AS,264.456786403693,264.456786403693,264.456786403693,264.456786403693,5,279.168458781362,5,0.01,AS,0,,0,0,5,279.168458781362,Wheat
5,0.1,NS,-20.7715544216196,2.2625295028534,-23.034083924473,-18.5090249187662,5,279.168458781362,5,0.1,NS,-98.3440311358692,10.3815140424198,-108.725545178289,-87.9625170934494,5,279.168458781362,5,0.1,NS,21.1971210304298,1.31672781141315,19.8803932190166,22.5138488418429,5,279.168458781362,5,0.1,NS,1.39118512659883,0.0864179689490531,1.30476715764977,1.47760309554788,5,279.168458781362,Wheat
5,0.1,ET,-20.7715529527982,2.26252932460035,-23.0340822773985,-18.5090236281978,5,279.168458781362,5,0.1,ET,-7.69810430875903,0.828978591015044,-8.52708289977407,-6.86912571774399,5,279.168458781362,5,0.1,ET,277.005925857733,1.31672781141315,275.68919804632,278.322653669146,5,279.168458781362,5,0.1,ET,1.39118512659883,0.0864179689490531,1.30476715764977,1.47760309554788,5,279.168458781362,Wheat
5,0.1,AS,0,0,0,0,5,279.168458781362,5,0.1,AS,0,0,0,0,5,279.168458781362,5,0.1,AS,264.456786403693,264.456786403693,264.456786403693,264.456786403693,5,279.168458781362,5,0.1,AS,0,,0,0,5,279.168458781362,Wheat
5,0.2,NS,-14.9340419673398,2.67428742389234,-17.6083293912321,-12.2597545434474,5,279.168458781362,5,0.2,NS,-98.2844313877396,10.6633052885106,-108.94773667625,-87.6211260992289,5,279.168458781362,5,0.2,NS,15.35960857615,2.83065633413759,12.5289522420124,18.1902649102876,5,279.168458781362,5,0.2,NS,1.00806420696681,0.185778388721364,0.822285818245444,1.19384259568817,5,279.168458781362,Wheat
5,0.2,ET,-14.9340404985184,2.67428736554664,-17.608327864065,-12.2597531329718,5,279.168458781362,5,0.2,ET,-5.65780362485893,0.967920938137642,-6.62572456299657,-4.68988268672129,5,279.168458781362,5,0.2,ET,271.168413403453,2.83065633413759,268.337757069316,273.999069737591,5,279.168458781362,5,0.2,ET,1.00806420696681,0.185778388721364,0.822285818245444,1.19384259568817,5,279.168458781362,Wheat
5,0.2,AS,0,0,0,0,5,279.168458781362,5,0.2,AS,0,0,0,0,5,279.168458781362,5,0.2,AS,264.456786403693,264.456786403693,264.456786403693,264.456786403693,5,279.168458781362,5,0.2,AS,0,,0,0,5,279.168458781362,Wheat
5,0.3,NS,-8.51010710950391,3.94327329507845,-12.4533804045824,-4.56683381442546,5,279.168458781362,5,0.3,NS,-98.2166695366207,10.9801424216605,-109.196811958281,-87.2365271149602,5,279.168458781362,5,0.3,NS,8.93567371831412,4.59810965670814,4.33756406160598,13.5337833750223,5,279.168458781362,5,0.3,NS,0.586455884986122,0.301777857271266,0.284678027714855,0.888233742257388,5,279.168458781362,Wheat
