Density,NE,Crop,Type,Means,SD,Ymin,Ymax,Threshold,Insecticide
5,0.01,Wheat,NS,-25.6306524452801,2.58587688470346,-28.2165293299835,-23.0447755605766,5,0.25
5,0.01,Wheat,ET,-25.6305055631413,2.58585444144426,-28.2163600045856,-23.0446511216971,5,0.25
5,0.01,Wheat,AS,0,0,0,0,5,0.25
5,0.1,Wheat,NS,-20.849037824926,2.26106558356868,-23.1101034084946,-18.5879722413573,5,0.25
5,0.1,Wheat,ET,-20.8488909427872,2.26104860098805,-23.1099395437753,-18.5878423417992,5,0.25
5,0.1,Wheat,AS,0,0,0,0,5,0.25
5,0.2,Wheat,NS,-15.0827349810694,2.7205410612189,-17.8032760422883,-12.3621939198505,5,0.25
5,0.2,Wheat,ET,-15.0825880989307,2.7205358163388,-17.8031239152695,-12.3620522825919,5,0.25
5,0.2,Wheat,AS,0,0,0,0,5,0.25
5,0.3,Wheat,NS,-8.74364207653696,4.0133798047805,-12.7570218813175,-4.73026227175645,5,0.25
5,0.3,Wheat,ET,-8.74349519439825,4.01338299601731,-12.7568781904156,-4.73011219838094,5,0.25
5,0.3,Wheat,AS,0,0,0,0,5,0.25
5,0.4,Wheat,NS,-3.23007865966891,4.34256579153375,-7.57264445120266,0,5,0.25
5,0.4,Wheat,ET,-3.22999699076191,4.34252532891365,-7.57252231967557,0,5,0.25
5,0.4,Wheat,AS,0,0,0,0,5,0.25
5,0.5,Wheat,NS,-1.2912693613066,3.16263428554944,-4.45390364685604,0,5,0.25
5,0.5,Wheat,ET,-1.29124147807902,3.16259754768311,-4.45383902576213,0,5,0.25
5,0.5,Wheat,AS,0,0,0,0,5,0.25
5,0.6,Wheat,NS,-0.666477703501145,2.20371473752572,-2.87019244102687,0,5,0.25
5,0.6,Wheat,ET,-0.666464752275222,2.20368901005501,-2.87015376233023,0,5,0.25
5,0.6,Wheat,AS,0,0,0,0,5,0.25
5,0.7,Wheat,NS,-0.367271000972983,1.49495165349215,-1.86222265446513,0,5,0.25
5,0.7,Wheat,ET,-0.367264753911067,1.49493422298926,-1.86219897690032,0,5,0.25
5,0.7,Wheat,AS,0,0,0,0,5,0.25
5,0.8,Wheat,NS,-0.19610870563044,0.915670318788951,-1.11177902441939,0,5,0.25
5,0.8,Wheat,ET,-0.196105201181073,0.915658869043664,-1.11176407022474,0,5,0.25
5,0.8,Wheat,AS,0,0,0,0,5,0.25
5,0.9,Wheat,NS,-0.0807741979018291,0.426113796095846,-0.506887993997675,0,5,0.25
5,0.9,Wheat,ET,-0.0807728265955548,0.426107497846556,-0.506880324442111,0,5,0.25
5,0.9,Wheat,AS,0,0,0,0,5,0.25
5,1,Wheat,NS,0,0,0,0,5,0.25
5,1,Wheat,ET,0,0,0,0,5,0.25
5,1,Wheat,AS,0,0,0,0,5,0.25
7.5,0.01,Wheat,NS,-51.2925974382402,8.34964488381805,-59.6422423220582,-42.9429525544221,5,0.25
7.5,0.01,Wheat,ET,-49.8341316594598,8.33691959511102,-58.1710512545708,-41.4972120643488,5,0.25
7.5,0.01,Wheat,AS,0,0,0,0,5,0.25
7.5,0.1,Wheat,NS,-46.5109828178861,7.48403753733773,-53.9950203552238,-39.0269452805483,5,0.25
7.5,0.1,Wheat,ET,-45.9799766392596,7.61121140001281,-53.5911880392724,-38.3687652392468,5,0.25
7.5,0.1,Wheat,AS,0,0,0,0,5,0.25
7.5,0.2,Wheat,NS,-40.7446799740295,6.57464510152253,-47.3193250755521,-34.170034872507,5,0.25
7.5,0.2,Wheat,ET,-40.6654657744946,6.72558413878018,-47.3910499132748,-33.9398816357144,5,0.25
7.5,0.2,Wheat,AS,0,0,0,0,5,0.25
7.5,0.3,Wheat,NS,-34.4055870694971,5.89934120033634,-40.3049282698334,-28.5062458691607,5,0.25
7.5,0.3,Wheat,ET,-34.3789414188317,5.99498118881835,-40.37392260765,-28.3839602300133,5,0.25
7.5,0.3,Wheat,AS,0,0,0,0,5,0.25
7.5,0.4,Wheat,NS,-27.3599930278774,5.81849202323131,-33.1784850511087,-21.5415010046461,5,0.25
7.5,0.4,Wheat,ET,-27.3466016505231,5.86520303334247,-33.2118046838656,-21.4813986171807,5,0.25
7.5,0.4,Wheat,AS,0,0,0,0,5,0.25
7.5,0.5,Wheat,NS,-19.41824649866,6.77994465314659,-26.1981911518066,-12.6383018455134,5,0.25
7.5,0.5,Wheat,ET,-19.4101675125956,6.7984992464267,-26.2086667590223,-12.6116682661689,5,0.25
7.5,0.5,Wheat,AS,0,0,0,0,5,0.25
7.5,0.6,Wheat,NS,-10.9908989885362,7.88411603382868,-18.8750150223648,-3.10678295470748,5,0.25
7.5,0.6,Wheat,ET,-10.9854546625556,7.88994759091749,-18.8754022534731,-3.09550707163811,5,0.25
7.5,0.6,Wheat,AS,0,0,0,0,5,0.25
7.5,0.7,Wheat,NS,-5.05043221881692,6.47227157362817,-11.5227037924451,0,5,0.25
7.5,0.7,Wheat,ET,-5.04691626226073,6.47410069249614,-11.5210169547569,0,5,0.25
7.5,0.7,Wheat,AS,0,0,0,0,5,0.25
7.5,0.8,Wheat,NS,-2.12433963238203,4.08674963171842,-6.21108926410045,0,5,0.25
7.5,0.8,Wheat,ET,-2.12238603474716,4.08729258248768,-6.20967861723484,0,5,0.25
7.5,0.8,Wheat,AS,0,0,0,0,5,0.25
7.5,0.9,Wheat,NS,-0.773988110952252,1.93024174161207,-2.70422985256432,0,5,0.25
7.5,0.9,Wheat,ET,-0.773216701548211,1.93040287559211,-2.70361957714032,0,5,0.25
7.5,0.9,Wheat,AS,0,0,0,0,5,0.25
7.5,1,Wheat,NS,0,0,0,0,5,0.25
7.5,1,Wheat,ET,0,0,0,0,5,0.25
7.5,1,Wheat,AS,0,0,0,0,5,0.25
10,0.01,Wheat,NS,-67.4571545157869,14.1826088429438,-81.6397633587308,-53.2745456728431,5,0.25
10,0.01,Wheat,ET,-56.7204042903379,13.6922961571549,-70.4127004474928,-43.028108133183,5,0.25
10,0.01,Wheat,AS,0,0,0,0,5,0.25
10,0.1,Wheat,NS,-62.6755398954328,13.1650223008185,-75.8405621962513,-49.5105175946143,5,0.25
10,0.1,Wheat,ET,-54.7494331387453,13.2671559727383,-68.0165891114836,-41.482277166007,5,0.25
10,0.1,Wheat,AS,0,0,0,0,5,0.25
10,0.2,Wheat,NS,-56.9092370515763,11.9474443929036,-68.8566814444799,-44.9617926586727,5,0.25
10,0.2,Wheat,ET,-51.8721948015785,12.5904543743693,-64.4626491759479,-39.2817404272092,5,0.25
10,0.2,Wheat,AS,0,0,0,0,5,0.25
10,0.3,Wheat,NS,-50.5701441470438,10.6665004191732,-61.236644566217,-39.9036437278706,5,0.25
10,0.3,Wheat,ET,-48.0583678405383,11.7007037553986,-59.7590715959368,-36.3576640851397,5,0.25
10,0.3,Wheat,AS,0,0,0,0,5,0.25
10,0.4,Wheat,NS,-43.5245501054241,9.42073773247125,-52.9452878378954,-34.1038123729529,5,0.25
